Timestamp,eigenvector,pagerank,clustering,triangles,degree,degree_centrality,average_neighbor_degree,node_clique_number,number_of_cliques,nb_of_nodes,nb_of_edges,diameter,assortativity,percolation_limit,Evento,Label,Colector,Categoria
0,0.0012612166660910002,1.999000499750125e-05,0.06277247749485701,1.39808095952024,3.121799100449775,6.240602711597984e-05,263.7706962621728,2.19688155922039,3.20191904047976,50025,78084,12,-0.123986949742902,0.9946971301656781,AS267613_2022_Normal,0,rrc04,origin_hijacks
1,0.001261965132691,1.9986808706253874e-05,0.06281969929226501,1.3895429016848881,3.121100073951192,6.238207694977599e-05,263.81581602675146,2.19639038234765,3.20348569943837,50033,78079,12,-0.12393533901999301,0.9946984335598881,AS267613_2022_Normal,0,rrc04,origin_hijacks
2,0.0012606291518450002,1.9986009793144802e-05,0.06333770062704401,1.407634655740981,3.120655541121215,6.237069874727616e-05,263.952200101675,2.19816128709903,3.2020385729989,50035,78071,12,-0.12362960593262001,0.9947029029511241,AS267613_2022_Normal,0,rrc04,origin_hijacks
3,0.0012615387527630001,1.9985610360540422e-05,0.06293423382612201,1.395455272204013,3.121432568550643,6.238498188369428e-05,263.80587903936197,2.196878247661683,3.203513470301383,50036,78092,12,-0.123878244132852,0.9947001008509211,AS267613_2022_Normal,0,rrc04,origin_hijacks
4,0.0012604709537900002,1.9982016185433113e-05,0.06302838199734301,1.397981816365271,3.121950244779698,6.238410688153821e-05,263.8175298908181,2.197142571685483,3.205175342192027,50045,78119,12,-0.12387478187627501,0.9947006478968241,AS267613_2022_Normal,0,rrc04,origin_hijacks
5,0.0012604332854610001,1.9982814779289813e-05,0.06304728134399401,1.397957756329556,3.121715324820654,6.238190569562876e-05,263.82752558501625,2.197110484982914,3.205563215634554,50043,78110,12,-0.123930428086021,0.9947019276409881,AS267613_2022_Normal,0,rrc04,origin_hijacks
6,0.001261351473144,1.9980818414322252e-05,0.063093390297512,1.40005594629156,3.121843030690537,6.237822508223344e-05,263.8495831154773,2.197790121483376,3.199688299232736,50048,78121,12,-0.123836874230244,0.9947019451655631,AS267613_2022_Normal,0,rrc04,origin_hijacks
7,0.001261304092672,1.997722596240287e-05,0.06303186376396501,1.396707753161396,3.122120782308168,6.237255838077691e-05,263.8917390457157,2.197075334119104,3.2053858601194642,50057,78142,12,-0.12387274880813301,0.9947038792650931,AS267613_2022_Normal,0,rrc04,origin_hijacks
8,0.001261144867404,1.9974432726110572e-05,0.06303053058583401,1.399228986896772,3.122003835091083,6.23615012102967e-05,263.87990029787545,2.197647011824864,3.199844199424736,50064,78150,12,-0.12388816223130801,0.9947051611500971,AS267613_2022_Normal,0,rrc04,origin_hijacks
9,0.0012608714055140002,1.9978024173409223e-05,0.063618140956369,1.4147637598641492,3.120887024273299,6.235040205125063e-05,264.08813299282593,2.198861252622115,3.203016681650184,50055,78108,12,-0.123581058121437,0.994711286468665,AS267613_2022_Normal,0,rrc04,origin_hijacks
10,0.00126120541671,1.9980818414322252e-05,0.062999881942759,1.397898017902813,3.121283567774936,6.23670463319467e-05,264.1643890348039,2.19707081202046,3.204363810741688,50048,78107,12,-0.123890386936609,0.9947123605941661,AS267613_2022_Normal,0,rrc04,origin_hijacks
11,0.0012604943105110002,1.9972836941759205e-05,0.06295522712240001,1.397579292162658,3.122433490452984,6.236510057429011e-05,263.8262414653005,2.197032036430454,3.206499161140848,50068,78167,12,-0.12391149150710501,0.9947045654670761,AS267613_2022_Normal,0,rrc04,origin_hijacks
12,0.001260635432231,1.9968051118210873e-05,0.06278729571463701,1.392891373801916,3.122244408945687,6.234638089709632e-05,263.7506578053922,2.196785143769968,3.20345447284345,50080,78181,12,-0.123925266175486,0.99470180373558,AS267613_2022_Normal,0,rrc04,origin_hijacks
13,0.0012602306581750002,1.9967253703925575e-05,0.062773863275975,1.394732638472904,3.121999920130985,6.233900920770324e-05,263.9907362747176,2.19679725250589,3.2050437282856112,50082,78178,12,-0.123816941721945,0.9947070746516551,AS267613_2022_Normal,0,rrc04,origin_hijacks
14,0.001260250265648,1.996605770190676e-05,0.06293502182117,1.396685634421483,3.122332035539582,6.234190630819388e-05,264.1539851158667,2.197104921633223,3.204771887790755,50085,78191,12,-0.12384338570006201,0.9947113609457771,AS267613_2022_Normal,0,rrc04,origin_hijacks
15,0.0012599377116840002,1.996087668170386e-05,0.063025321345736,1.404946305241726,3.122799313345842,6.233505625777675e-05,264.13545948438633,2.198890175256497,3.190925785460497,50098,78223,12,-0.12384513125007901,0.994710552475872,AS267613_2022_Normal,0,rrc04,origin_hijacks
16,0.0012601170862810002,1.995928306255239e-05,0.06285191165112901,1.392658975689593,3.122709672268572,6.232829029896754e-05,264.12568486049076,2.196778571713704,3.204442936409724,50102,78227,12,-0.123876593380357,0.994708679768693,AS267613_2022_Normal,0,rrc04,origin_hijacks
17,0.0012602541457190002,1.995848634839533e-05,0.0629039227639,1.3918449624780451,3.122784608015328,6.23272979265778e-05,263.91930484413524,2.196810633881526,3.203915855021555,50104,78232,12,-0.12388015724911901,0.994704642629711,AS267613_2022_Normal,0,rrc04,origin_hijacks
18,0.00126032384127,1.9955698349663753e-05,0.062816779130305,1.39404521961246,3.122587854961984,6.231466483659917e-05,264.01668208695475,2.196922831314482,3.205144579034543,50111,78238,12,-0.12379361396522501,0.9947069185671341,AS267613_2022_Normal,0,rrc04,origin_hijacks
19,0.001259282150098,1.9955300127713912e-05,0.06358022404779501,1.41052043422733,3.123283844189016,6.23273102550142e-05,264.1889758911579,2.198714878671775,3.204561781609195,50112,78257,12,-0.12352074174110601,0.99471263566366,AS267613_2022_Normal,0,rrc04,origin_hijacks
20,0.001260077334729,1.9946941136576713e-05,0.06283398325355101,1.390700736042128,3.122813316577903,6.229181593748311e-05,264.00711484875313,2.196916202900285,3.203458799593082,50133,78278,12,-0.12382567320145801,0.9947054682520181,AS267613_2022_Normal,0,rrc04,origin_hijacks
21,0.0012602042218560002,1.9946145407400003e-05,0.06283384057819501,1.3888899970080781,3.122569063528473,6.22844589206621e-05,264.0153784019954,2.196748778298594,3.202473322030517,50135,78275,12,-0.12383074612905001,0.9947047066380411,AS267613_2022_Normal,0,rrc04,origin_hijacks
22,0.0012598075878650001,1.994654326405235e-05,0.06300452330277101,1.396876371324849,3.122751027246978,6.228933092467991e-05,263.95122184291273,2.197510671400646,3.200881637212271,50134,78278,12,-0.12377691313302401,0.994705079675096,AS267613_2022_Normal,0,rrc04,origin_hijacks
23,0.0012595232068930002,1.994455413949222e-05,0.063039596302254,1.39747501944594,3.123237400027922,6.229281981786116e-05,264.0208455758922,2.197630586968228,3.20030315722292,50139,78298,12,-0.12377507146806101,0.9947062595381031,AS267613_2022_Normal,0,rrc04,origin_hijacks
24,0.0012591853988520002,1.9944951932665843e-05,0.06296263084430001,1.394610873987793,3.123100243328413,6.22913266315977e-05,263.93252744579934,2.196936455383142,3.206430252503091,50138,78293,12,-0.12385054781473101,0.9947038217878951,AS267613_2022_Normal,0,rrc04,origin_hijacks
25,0.0012588812239630002,1.9935806702418202e-05,0.062964811784418,1.404318095731743,3.1236618089751,6.227395950907299e-05,264.0884601023709,2.197224935707023,3.205916947429278,50161,78343,12,-0.12381389026267502,0.994706323707599,AS267613_2022_Normal,0,rrc04,origin_hijacks
26,0.001258544277981,1.9934614464556242e-05,0.06304104277374001,1.411749461765409,3.123754086595965,6.227207476817508e-05,264.179479777159,2.197711506259469,3.203612152140977,50164,78350,12,-0.12375383369414,0.9947102539044361,AS267613_2022_Normal,0,rrc04,origin_hijacks
27,0.001258930177707,1.9934614464556252e-05,0.062993121902869,1.403077904473327,3.123833825053823,6.227366435527827e-05,264.25489631018837,2.196993860138745,3.208097440395502,50164,78352,12,-0.12379399896244901,0.994710445284075,AS267613_2022_Normal,0,rrc04,origin_hijacks
28,0.001258676298563,1.9933422369286583e-05,0.06304178001305001,1.403233201108298,3.12320848366456,6.225747485676675e-05,264.1713623688767,2.196962146430921,3.208264396914306,50167,78341,12,-0.12374032923092401,0.9947092530565591,AS267613_2022_Normal,0,rrc04,origin_hijacks
29,0.0012585416618250001,1.9930244145490802e-05,0.06307280143751201,1.405620328849028,3.12366716492277,6.225669001719557e-05,264.52495887197136,2.197209765819631,3.208111609367214,50175,78365,12,-0.12370690931184002,0.9947166459665351,AS267613_2022_Normal,0,rrc04,origin_hijacks
30,0.001258604803127,1.9923493783869942e-05,0.063072834228347,1.40522394007013,3.123326426522155,6.222881445920894e-05,264.7708299416916,2.197162894485177,3.208320051004144,50192,78383,12,-0.123752894686372,0.9947184647883051,AS267613_2022_Normal,0,rrc04,origin_hijacks
31,0.001258485851953,1.9921906127978333e-05,0.063064107548725,1.402163519005498,3.1235158179934652,6.222762860829695e-05,264.62289986425066,2.197067495417961,3.206809307514543,50196,78394,12,-0.12377355211091001,0.9947153859091561,AS267613_2022_Normal,0,rrc04,origin_hijacks
32,0.0012577389197820001,1.9919525118521173e-05,0.06376224378034201,1.422234173937293,3.124218158639098,6.223418176209832e-05,264.76672658329215,2.199015975459145,3.209055416118879,50202,78421,12,-0.123483936613012,0.994718724126826,AS267613_2022_Normal,0,rrc04,origin_hijacks
33,0.0012592525958560002,1.9919921913906093e-05,0.063129751001111,1.405191131650764,3.124041353757893,6.223189947724889e-05,264.92988232526534,2.197286906635326,3.208959980876875,50201,78415,12,-0.12373221059785401,0.9947191979026291,AS267613_2022_Normal,0,rrc04,origin_hijacks
34,0.001259263245001,1.9919525118521163e-05,0.06319042862806701,1.4088482530576472,3.12405880243815,6.223100739901893e-05,264.8658890871627,2.197860643002271,3.204155212939723,50202,78417,12,-0.12374931426988701,0.9947180419715511,AS267613_2022_Normal,0,rrc04,origin_hijacks
35,0.0012594810227260001,1.9919921913906093e-05,0.063075872055977,1.4052110515726781,3.124360072508516,6.223824845634493e-05,264.92939828007775,2.1971275472600142,3.210493814864246,50201,78423,12,-0.12372692377886602,0.9947187267244291,AS267613_2022_Normal,0,rrc04,origin_hijacks
